query,previous_url,current_url,previous_clicks,current_clicks,previous_impressions,current_impressions,previous_position,current_position,position_change,previous_ctr,current_ctr,ranking_tracker_status,google_index_status,problem_type,recommended_action,priority,target_page,ctr_change_percentage_points,mapping_evidence,window,checked_at,source
services offered by radiance skin & hair clinics,,,3,1,41,41,2,1.1,-0.9,7.3%,2.4%,,URL_INSPECTION_REQUIRED; query visibility is not index status,CTR_OR_DEMAND_LOSS,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P1,/hair-loss-clinic-bhubaneswar,-4.9,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
radiance skin & hair clinics bhubaneswar,,,3,1,26,25,1.2,1,-0.2,11.5%,4%,,URL_INSPECTION_REQUIRED; query visibility is not index status,CTR_OR_DEMAND_LOSS,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P1,/hair-loss-clinic-bhubaneswar,-7.5,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
dr satyartha prakash,,,2,1,19,19,2.1,2.5,0.4,10.5%,5.3%,,URL_INSPECTION_REQUIRED; query visibility is not index status,CTR_OR_DEMAND_LOSS,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P1,/about,-5.2,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
hair specialist doctor in bhubaneswar,,,3,0,198,230,7.1,8,0.9,1.5%,0%,,URL_INSPECTION_REQUIRED; query visibility is not index status,CTR_OR_DEMAND_LOSS,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P0,/hair-loss-clinic-bhubaneswar,-1.5,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
hair specialist in bhubaneswar,,,2,0,220,152,11.5,14,2.5,0.9%,0%,,URL_INSPECTION_REQUIRED; query visibility is not index status,CTR_OR_DEMAND_LOSS,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P1,/hair-loss-clinic-bhubaneswar,-0.9,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
radiance hair transplant,,,4,0,115,116,39,34.7,-4.3,3.5%,0%,,URL_INSPECTION_REQUIRED; query visibility is not index status,CTR_OR_DEMAND_LOSS,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P0,/hair-transplant-bhubaneswar,-3.5,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
laser hair removal in bhubaneswar,,,2,0,148,109,15.1,17.3,2.2,1.4%,0%,,URL_INSPECTION_REQUIRED; query visibility is not index status,CTR_OR_DEMAND_LOSS,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P1,/laser-hair-removal-bhubaneswar,-1.4,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
aesthetic clinic bhubaneswar,,,2,0,38,42,8.1,9.1,1,5.3%,0%,,URL_INSPECTION_REQUIRED; query visibility is not index status,CTR_OR_DEMAND_LOSS,Inspect exact query-page mapping and snippet before changing winning title; monitor clicks not sitewide average position,P1,/treatments/aesthetic-dermatology,-5.3,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
microblading eyebrows in bhubaneswar,,,2,0,30,30,2.6,1,-1.6,6.7%,0%,,URL_INSPECTION_REQUIRED; query visibility is not index status,SERVICE_CONFIRMATION_REQUIRED,Obtain current doctor-approved service scope; do not recreate outdated medical claims,P1,,-6.7,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
hair patch in bhubaneswar,https://www.radianceclinics.com/hair-patch/,https://www.radianceclinics.com/,3,0,131,22,5.5,20.9,15.4,2.3%,0%,N/A (user supplied; not a Google index verdict),URL_INSPECTION_REQUIRED; query visibility is not index status,MIGRATION_INTENT_GAP_AND_WRONG_PAGE,Consolidate legacy coverage URLs; strengthen patch/wig content and incoming links; inspect/request indexing of canonical replacement,P0,/non-surgical-hair-replacement-bhubaneswar,-2.3,Old hair-patch page 3 clicks/101 impressions/position 2.8; homepage currently 17 impressions/position 18.1; transplant page 5 impressions/position 30.4. Canonical replacement absent from this query's page table.,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
hair patch service in bhubaneswar,,,1,0,31,2,2.4,7.5,5.1,3.2%,0%,,URL_INSPECTION_REQUIRED; query visibility is not index status,MIGRATION_INTENT_GAP_AND_WRONG_PAGE,Consolidate legacy coverage URLs; strengthen patch/wig content and incoming links; inspect/request indexing of canonical replacement,P0,/non-surgical-hair-replacement-bhubaneswar,-3.2,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
hair patch price in bhubaneswar,,,1,0,19,1,6.8,10,3.2,5.3%,0%,,URL_INSPECTION_REQUIRED; query visibility is not index status,MIGRATION_INTENT_GAP_AND_WRONG_PAGE,Consolidate legacy coverage URLs; strengthen patch/wig content and incoming links; inspect/request indexing of canonical replacement,P0,/non-surgical-hair-replacement-bhubaneswar,-5.3,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
hair wig in bhubaneswar,https://www.radianceclinics.com/hair-wig/,https://www.radianceclinics.com/,1,0,27,2,6,17,11,3.7%,0%,N/A (user supplied; not a Google index verdict),URL_INSPECTION_REQUIRED; query visibility is not index status,MIGRATION_INTENT_GAP_AND_WRONG_PAGE,Consolidate legacy coverage URLs; strengthen patch/wig content and incoming links; inspect/request indexing of canonical replacement,P0,/non-surgical-hair-replacement-bhubaneswar,-3.7,Old wig page 1 click/23 impressions/position 4.6; homepage currently 2 impressions/position 17. Canonical replacement absent.,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
hair wig for men in bhubaneswar,,,1,0,6,0,6,,,16.7%,0%,,URL_INSPECTION_REQUIRED; query visibility is not index status,MIGRATION_INTENT_GAP_AND_WRONG_PAGE,Consolidate legacy coverage URLs; strengthen patch/wig content and incoming links; inspect/request indexing of canonical replacement,P0,/non-surgical-hair-replacement-bhubaneswar,-16.7,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
dermatologist in bhubaneswar,https://www.radianceclinics.com/,https://www.radianceclinics.com/,0,0,276,324,8.9,8.9,0,0%,0%,N/A (user supplied; not a Google index verdict),URL_INSPECTION_REQUIRED; query visibility is not index status,STABLE_OR_IMPROVING,Preserve existing URL/title; add contextual links to canonical owner and monitor,P1,/skin-clinic-bhubaneswar,0,Homepage 324 current vs 276 previous impressions; position 8.9 both periods. This is not evidence of deindexing.,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
skin specialist in bhubaneswar,https://www.radianceclinics.com/,https://www.radianceclinics.com/,0,0,81,156,14.4,10.7,-3.7,0%,0%,N/A (user supplied; not a Google index verdict),URL_INSPECTION_REQUIRED; query visibility is not index status,STABLE_OR_IMPROVING,Preserve existing URL/title; add contextual links to canonical owner and monitor,P1,/skin-clinic-bhubaneswar,0,Homepage 156 current vs 81 previous impressions; position improved 14.4 to 10.7.,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
hair transplant in rourkela,,,0,0,14,15,12,7.4,-4.6,0%,0%,N/A (user supplied; not a Google index verdict),URL_INSPECTION_REQUIRED; query visibility is not index status,STABLE_OR_IMPROVING,Preserve existing URL/title; add contextual links to canonical owner and monitor,P1,/hair-transplant-rourkela,0,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
hair patch bhubaneswar,,,0,0,23,18,8.3,13.3,5,0%,0%,,URL_INSPECTION_REQUIRED; query visibility is not index status,MIGRATION_INTENT_GAP_AND_WRONG_PAGE,Consolidate legacy coverage URLs; strengthen patch/wig content and incoming links; inspect/request indexing of canonical replacement,P0,/non-surgical-hair-replacement-bhubaneswar,0,NOT_JOINED: retrieve exact query Pages report,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
skin care doctor bhubaneswar,,,,,,,,,,,,N/A (user supplied),UNKNOWN,QUERY_DATA_UNAVAILABLE,"Retrieve exact-query export/API data; strengthen existing skin owner, no duplicate page",P1,/skin-clinic-bhubaneswar,,,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
weight loss clinic bhubaneswar,,,,,,,,,,,,N/A (user supplied),UNKNOWN,SERVICE_CONFIRMATION_REQUIRED,Confirm current medical weight management versus cosmetic contouring before publication,P1,,,,Last 28 complete days compared with previous 28 days; latest complete data through 2026-09-15. Exact custom-date dialog unavailable; retain native report-window labels.,2026-09-18,Authenticated Google Search Console performance UI; Web; all devices/countries; CSV download blocked by Chrome ERR_BLOCKED_BY_CLIENT. Query rows transcribed from rendered table. Unknown page mappings are intentionally blank.
