canonical_path,category,canonical_name,aliases,patient_language_terms,primary_intent,status,medical_review_required,reviewed_by,reviewed_at,indexable,updated_at
/concerns/hair-transplant/hair-transplant-suitability,hair-transplant,Hair Transplant Suitability,am I eligible for hair transplant;hair transplant candidate;can I get transplant,am I eligible for hair transplant;hair transplant candidate;can I get transplant,hair transplant suitability guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/hair-transplant/female-hair-transplant,hair-transplant,Female Hair Transplant,hair transplant for women;female hairline transplant;women hair transplant,hair transplant for women;female hairline transplant;women hair transplant,female hair transplant guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/hair-transplant/beard-transplant,hair-transplant,Beard & Moustache Transplant,beard transplant;patchy beard transplant;moustache hair transplant,beard transplant;patchy beard transplant;moustache hair transplant,beard & moustache transplant guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/hair-transplant/donor-area-thinning,hair-transplant,Donor Area Thinning,weak donor area;thin back hair;overharvested donor,weak donor area;thin back hair;overharvested donor,donor area thinning guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/hair-transplant/hairline-design,hair-transplant,Hairline Design,natural hairline;hairline shape;front hair transplant design,natural hairline;hairline shape;front hair transplant design,hairline design guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/hair-transplant/graft-number-planning,hair-transplant,Hair Transplant Graft Planning,how many grafts;graft count;hair transplant density calculator,how many grafts;graft count;hair transplant density calculator,hair transplant graft planning guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/hair-transplant/post-transplant-shedding,hair-transplant,Shedding After Hair Transplant,transplanted hair falling;hair fall after transplant;post transplant shedding,transplanted hair falling;hair fall after transplant;post transplant shedding,shedding after hair transplant guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/hair-transplant/shock-loss,hair-transplant,Shock Loss,hair loss around transplant;shock shedding;native hair falling after transplant,hair loss around transplant;shock shedding;native hair falling after transplant,shock loss guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/hair-transplant/hair-transplant-growth-timeline,hair-transplant,Hair Transplant Growth Timeline,when hair transplant grows;hair transplant months;transplant result time,when hair transplant grows;hair transplant months;transplant result time,hair transplant growth timeline guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/acne/acne,acne,Acne,pimples;breakouts;zits,pimples;breakouts;zits,acne guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/acne/closed-comedones,acne,Closed Comedones (Whiteheads),whiteheads;tiny bumps on forehead;small skin coloured bumps;bumps that do not pop,whiteheads;tiny bumps on forehead;small skin coloured bumps;bumps that do not pop,closed comedones (whiteheads) guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/acne/blackheads,acne,Blackheads (Open Comedones),open pores with black dots;black spots in pores;open comedones,open pores with black dots;black spots in pores;open comedones,blackheads (open comedones) guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/acne/inflammatory-acne,acne,Inflammatory Acne,red pimples;pus pimples;painful acne,red pimples;pus pimples;painful acne,inflammatory acne guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/acne/cystic-acne,acne,Deep or Cystic Acne,big painful pimples;under skin acne;nodular acne,big painful pimples;under skin acne;nodular acne,deep or cystic acne guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/acne/hormonal-acne,acne,Hormonal Acne,period pimples;jawline acne;PCOS acne,period pimples;jawline acne;PCOS acne,hormonal acne guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/acne/adult-acne,acne,Adult Acne,acne after 25;late acne;adult pimples,acne after 25;late acne;adult pimples,adult acne guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/acne/acne-purging-vs-breakout,acne,Skin Purging vs Acne Breakout,purging or breakout;new product pimples;retinol purge,purging or breakout;new product pimples;retinol purge,skin purging vs acne breakout guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/acne-scars/acne-scars,acne-scars,Acne Scars,pimple holes;acne pits;face holes after pimples,pimple holes;acne pits;face holes after pimples,acne scars guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/acne-scars/ice-pick-scars,acne-scars,Ice Pick Acne Scars,tiny deep acne holes;pinpoint pits;needle scars,tiny deep acne holes;pinpoint pits;needle scars,ice pick acne scars guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/acne-scars/boxcar-scars,acne-scars,Boxcar Acne Scars,square acne scars;sharp edged pits;crater scars,square acne scars;sharp edged pits;crater scars,boxcar acne scars guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/acne-scars/rolling-scars,acne-scars,Rolling Acne Scars,wavy acne scars;uneven rolling skin;tethered acne scars,wavy acne scars;uneven rolling skin;tethered acne scars,rolling acne scars guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/acne-scars/post-acne-red-marks,acne-scars,Red Marks After Acne,red acne marks;post acne redness;PIE,red acne marks;post acne redness;PIE,red marks after acne guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/acne-scars/post-inflammatory-hyperpigmentation,acne-scars,Dark Marks After Acne,pimple marks;acne pigmentation;brown acne spots;PIH,pimple marks;acne pigmentation;brown acne spots;PIH,dark marks after acne guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/acne-scars/deep-acne-scars,acne-scars,Deep Acne Scars,very deep pimple holes;severe acne scarring;deep face pits,very deep pimple holes;severe acne scarring;deep face pits,deep acne scars guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/pigmentation/pigmentation,pigmentation,Facial Pigmentation,dark patches;skin pigmentation;face darkening,dark patches;skin pigmentation;face darkening,facial pigmentation guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/pigmentation/melasma,pigmentation,Melasma,facial pigmentation;brown patches;patches on cheeks;pregnancy pigmentation,facial pigmentation;brown patches;patches on cheeks;pregnancy pigmentation,melasma guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/pigmentation/sunspots,pigmentation,Sunspots,age spots;solar lentigines;brown sun spots,age spots;solar lentigines;brown sun spots,sunspots guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/pigmentation/uneven-skin-tone,pigmentation,Uneven Skin Tone,patchy skin colour;uneven complexion;face colour uneven,patchy skin colour;uneven complexion;face colour uneven,uneven skin tone guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/pigmentation/tanning,pigmentation,Sun Tan & Persistent Darkening,tan removal;sun darkening;face tan,tan removal;sun darkening;face tan,sun tan & persistent darkening guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/pigmentation/lip-pigmentation,pigmentation,Lip Pigmentation,dark lips;black lips;uneven lip colour,dark lips;black lips;uneven lip colour,lip pigmentation guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/pigmentation/under-eye-dark-circles,pigmentation,Under-Eye Dark Circles,dark circles;black under eyes;eye pigmentation,dark circles;black under eyes;eye pigmentation,under-eye dark circles guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/skin-texture/enlarged-pores,skin-texture,Visible or Enlarged Pores,open pores;big pores;holes on nose,open pores;big pores;holes on nose,visible or enlarged pores guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/skin-texture/rough-skin-texture,skin-texture,Rough Skin Texture,bumpy skin;uneven skin texture;sandpaper face,bumpy skin;uneven skin texture;sandpaper face,rough skin texture guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/skin-texture/dull-skin,skin-texture,Dull-Looking Skin,no glow;tired skin;lifeless face,no glow;tired skin;lifeless face,dull-looking skin guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/skin-texture/fine-lines,skin-texture,Fine Lines,small wrinkles;early wrinkles;crepey skin,small wrinkles;early wrinkles;crepey skin,fine lines guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/skin-texture/dehydrated-skin,skin-texture,Dehydrated Skin,tight skin;skin lacking water;dry but oily skin,tight skin;skin lacking water;dry but oily skin,dehydrated skin guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/aging-aesthetics/skin-laxity,aging-aesthetics,Skin Laxity,loose skin;sagging face;skin tightening,loose skin;sagging face;skin tightening,skin laxity guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/aging-aesthetics/facial-volume-loss,aging-aesthetics,Facial Volume Loss,sunken cheeks;face hollowing;volume loss,sunken cheeks;face hollowing;volume loss,facial volume loss guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/aging-aesthetics/forehead-lines,aging-aesthetics,Forehead & Frown Lines,forehead wrinkles;11 lines;expression lines,forehead wrinkles;11 lines;expression lines,forehead & frown lines guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/aging-aesthetics/under-eye-bags,aging-aesthetics,Under-Eye Bags,eye bags;puffy under eyes;under eye hollow,eye bags;puffy under eyes;under eye hollow,under-eye bags guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/laser-hair-reduction/unwanted-facial-hair,laser-hair-reduction,Unwanted Facial Hair,chin hair;upper lip hair;facial hair women,chin hair;upper lip hair;facial hair women,unwanted facial hair guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/laser-hair-reduction/ingrown-hair,laser-hair-reduction,Ingrown Hair,hair growing inside skin;razor bumps;pseudofolliculitis,hair growing inside skin;razor bumps;pseudofolliculitis,ingrown hair guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/laser-hair-reduction/strawberry-legs,laser-hair-reduction,Strawberry Legs,black dots on legs;dark pores legs;spotted legs after shaving,black dots on legs;dark pores legs;spotted legs after shaving,strawberry legs guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/laser-hair-reduction/laser-hair-reduction-suitability,laser-hair-reduction,Laser Hair Reduction Suitability,am I suitable for laser;laser hair removal candidate;laser consultation,am I suitable for laser;laser hair removal candidate;laser consultation,laser hair reduction suitability guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/laser-hair-reduction/laser-hair-removal-dark-skin,laser-hair-reduction,Laser Hair Reduction for Darker Skin,laser hair removal Indian skin;laser for brown skin;laser hair removal dark skin,laser hair removal Indian skin;laser for brown skin;laser hair removal dark skin,laser hair reduction for darker skin guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/scars-stretch-marks/stretch-marks,scars-stretch-marks,Stretch Marks,striae;pregnancy stretch marks;body lines,striae;pregnancy stretch marks;body lines,stretch marks guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/scars-stretch-marks/surgical-scars,scars-stretch-marks,Surgical Scars,operation scar;stitch marks;post surgery scar,operation scar;stitch marks;post surgery scar,surgical scars guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/scars-stretch-marks/traumatic-scars,scars-stretch-marks,Traumatic & Injury Scars,accident scar;cut mark;injury scar,accident scar;cut mark;injury scar,traumatic & injury scars guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/scars-stretch-marks/raised-scars-keloids,scars-stretch-marks,Raised Scars & Keloids,keloid;thick scar;growing scar,keloid;thick scar;growing scar,raised scars & keloids guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/other-skin-concerns/moles-and-warts,other-skin-concerns,"Moles, Skin Tags & Warts",mole removal;wart removal;skin growth,mole removal;wart removal;skin growth,"moles, skin tags & warts guidance",READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/other-skin-concerns/rosacea-redness,other-skin-concerns,Persistent Facial Redness & Rosacea,red face;rosacea;facial flushing,red face;rosacea;facial flushing,persistent facial redness & rosacea guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
/concerns/other-skin-concerns/excessive-sweating,other-skin-concerns,Excessive Sweating,hyperhidrosis;too much sweating;sweaty palms,hyperhidrosis;too much sweating;sweaty palms,excessive sweating guidance,READY_FOR_MEDICAL_REVIEW,true,,,false,2026-08-15
