route,route_type,parent_hub,canonical,category,sitemap,robots,status,reviewed_by,reviewed_at
/doctor-answers/why-hair-falls-more-on-wash-days,doctor-answer,/doctor-answers,/doctor-answers/why-hair-falls-more-on-wash-days,hair-loss-scalp,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/can-stress-cause-sudden-hair-shedding,doctor-answer,/doctor-answers,/doctor-answers/can-stress-cause-sudden-hair-shedding,hair-loss-scalp,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/why-scalp-visible-under-bright-light,doctor-answer,/doctor-answers,/doctor-answers/why-scalp-visible-under-bright-light,hair-loss-scalp,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/when-widening-part-needs-assessment,doctor-answer,/doctor-answers,/doctor-answers/when-widening-part-needs-assessment,hair-loss-scalp,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/can-dandruff-cause-hair-loss,doctor-answer,/doctor-answers,/doctor-answers/can-dandruff-cause-hair-loss,hair-loss-scalp,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/why-hairline-receding-one-side,doctor-answer,/doctor-answers,/doctor-answers/why-hairline-receding-one-side,hair-loss-scalp,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/how-many-grafts-receding-hairline,doctor-answer,/doctor-answers,/doctor-answers/how-many-grafts-receding-hairline,hair-transplant,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/can-hair-transplant-work-weak-donor,doctor-answer,/doctor-answers,/doctor-answers/can-hair-transplant-work-weak-donor,hair-transplant,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/how-long-redness-after-hair-transplant,doctor-answer,/doctor-answers,/doctor-answers/how-long-redness-after-hair-transplant,hair-transplant,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/when-wash-hair-after-transplant,doctor-answer,/doctor-answers,/doctor-answers/when-wash-hair-after-transplant,hair-transplant,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/how-sleep-after-hair-transplant,doctor-answer,/doctor-answers,/doctor-answers/how-sleep-after-hair-transplant,hair-transplant,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/when-exercise-after-hair-transplant,doctor-answer,/doctor-answers,/doctor-answers/when-exercise-after-hair-transplant,hair-transplant,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/when-wear-helmet-after-hair-transplant,doctor-answer,/doctor-answers,/doctor-answers/when-wear-helmet-after-hair-transplant,hair-transplant,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/can-transplanted-hair-fall-out-years-later,doctor-answer,/doctor-answers,/doctor-answers/can-transplanted-hair-fall-out-years-later,hair-transplant,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/why-adult-acne-on-jawline,doctor-answer,/doctor-answers,/doctor-answers/why-adult-acne-on-jawline,acne,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/skin-purging-or-breakout,doctor-answer,/doctor-answers,/doctor-answers/skin-purging-or-breakout,acne,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/does-popping-pimples-cause-scars,doctor-answer,/doctor-answers,/doctor-answers/does-popping-pimples-cause-scars,acne,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/why-acne-after-shaving,doctor-answer,/doctor-answers,/doctor-answers/why-acne-after-shaving,acne,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/when-see-doctor-for-acne,doctor-answer,/doctor-answers,/doctor-answers/when-see-doctor-for-acne,acne,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/can-skin-be-oily-and-dehydrated,doctor-answer,/doctor-answers,/doctor-answers/can-skin-be-oily-and-dehydrated,acne,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/acne-marks-vs-acne-scars,doctor-answer,/doctor-answers,/doctor-answers/acne-marks-vs-acne-scars,acne-scars,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/can-ice-pick-acne-scars-improve,doctor-answer,/doctor-answers,/doctor-answers/can-ice-pick-acne-scars-improve,acne-scars,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/enlarged-pores-or-acne-scars,doctor-answer,/doctor-answers,/doctor-answers/enlarged-pores-or-acne-scars,acne-scars,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/how-many-sessions-acne-scars,doctor-answer,/doctor-answers,/doctor-answers/how-many-sessions-acne-scars,acne-scars,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/why-combination-treatment-acne-scars,doctor-answer,/doctor-answers,/doctor-answers/why-combination-treatment-acne-scars,acne-scars,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/melasma-vs-hyperpigmentation,doctor-answer,/doctor-answers,/doctor-answers/melasma-vs-hyperpigmentation,pigmentation,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/why-pigmentation-worse-after-treatment,doctor-answer,/doctor-answers,/doctor-answers/why-pigmentation-worse-after-treatment,pigmentation,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/can-sunscreen-prevent-pigmentation-returning,doctor-answer,/doctor-answers,/doctor-answers/can-sunscreen-prevent-pigmentation-returning,pigmentation,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/what-causes-darkness-around-mouth,doctor-answer,/doctor-answers,/doctor-answers/what-causes-darkness-around-mouth,pigmentation,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/tan-vs-pigmentation,doctor-answer,/doctor-answers,/doctor-answers/tan-vs-pigmentation,pigmentation,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/why-pores-look-large-on-nose,doctor-answer,/doctor-answers,/doctor-answers/why-pores-look-large-on-nose,skin-texture,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/damaged-skin-barrier-or-dry-skin,doctor-answer,/doctor-answers,/doctor-answers/damaged-skin-barrier-or-dry-skin,skin-texture,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/why-skin-dull-despite-skincare,doctor-answer,/doctor-answers,/doctor-answers/why-skin-dull-despite-skincare,skin-texture,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/under-eye-hollows-vs-eye-bags,doctor-answer,/doctor-answers,/doctor-answers/under-eye-hollows-vs-eye-bags,aging-aesthetics,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/are-injectable-aesthetic-treatments-safe,doctor-answer,/doctor-answers,/doctor-answers/are-injectable-aesthetic-treatments-safe,aging-aesthetics,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/how-long-nonsurgical-aesthetic-results-last,doctor-answer,/doctor-answers,/doctor-answers/how-long-nonsurgical-aesthetic-results-last,aging-aesthetics,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/laser-hair-reduction-safe-darker-skin,doctor-answer,/doctor-answers,/doctor-answers/laser-hair-reduction-safe-darker-skin,laser-hair-reduction,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/why-hair-grows-back-after-laser,doctor-answer,/doctor-answers,/doctor-answers/why-hair-grows-back-after-laser,laser-hair-reduction,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/does-pcos-affect-laser-hair-reduction,doctor-answer,/doctor-answers,/doctor-answers/does-pcos-affect-laser-hair-reduction,laser-hair-reduction,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/can-old-stretch-marks-improve,doctor-answer,/doctor-answers,/doctor-answers/can-old-stretch-marks-improve,scars-stretch-marks,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/keloid-or-raised-scar,doctor-answer,/doctor-answers,/doctor-answers/keloid-or-raised-scar,scars-stretch-marks,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/when-should-mole-be-checked,doctor-answer,/doctor-answers,/doctor-answers/when-should-mole-be-checked,other-skin-concerns,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
/doctor-answers/when-excessive-sweating-needs-medical-check,doctor-answer,/doctor-answers,/doctor-answers/when-excessive-sweating-needs-medical-check,other-skin-concerns,true,"index,follow",APPROVED,Dr. Satyarth Prakash,2026-08-15
