query,intent,old_url,current_url,old_clicks,current_clicks,old_impressions,current_impressions,old_position,current_position,position_delta,old_ctr,current_ctr,click_loss,migration_issue,cannibalisation,preferred_target_url,recommended_action,priority
laser hair removal in bhubaneswar,local commercial,https://www.radianceclinics.com/,https://www.radianceclinics.com/laser-hair-removal-bhubaneswar,3,2,145,149,15.59,15.30,-0.29,2.07,1.34,1,old or non-preferred URL still ranking,homepage and legacy page share intent,https://www.radianceclinics.com/laser-hair-removal-bhubaneswar,INTERNAL_LINK,P0
skin care doctor,informational commercial,https://www.radianceclinics.com/post/what-to-expect-during-your-first-visit-to-a-skin-care-doctor/,https://www.radianceclinics.com/skin-clinic-bhubaneswar,0,0,497,312,31.35,27.52,-3.83,0.00,0.00,0,old or non-preferred URL still ranking,legacy article and homepage share intent,https://www.radianceclinics.com/skin-clinic-bhubaneswar,REDIRECT,P0
hair patch in bhubaneswar,local commercial,https://www.radianceclinics.com/hair-patch/,https://www.radianceclinics.com/non-surgical-hair-replacement-bhubaneswar,3,3,205,113,5.88,5.46,-0.42,1.46,2.65,0,old or non-preferred URL still ranking,legacy hair-patch URL is returning 404,https://www.radianceclinics.com/non-surgical-hair-replacement-bhubaneswar,REDIRECT_AND_INTERNAL_LINK,P0
wart removal bhubaneswar,local commercial,https://www.radianceclinics.com/mole-wart-removal/,https://www.radianceclinics.com/wart-removal-bhubaneswar,1,1,34,15,6.06,3.53,-2.53,2.94,6.67,0,old or non-preferred URL still ranking,legacy service URL owns intent,https://www.radianceclinics.com/wart-removal-bhubaneswar,REDIRECT,P0
hair transplant in sambalpur,local outstation,https://www.radianceclinics.com/hair-transplant-in-sambalpur/,https://www.radianceclinics.com/hair-transplant-sambalpur,0,0,38,21,3.97,4.38,0.41,0.00,0.00,0,old or non-preferred URL still ranking,legacy page has current visibility,https://www.radianceclinics.com/hair-transplant-sambalpur,REDIRECT,P0
hair transplant in bhubaneswar,local commercial,https://www.radianceclinics.com/,https://www.radianceclinics.com/hair-transplant-bhubaneswar,8,17,643,631,7.60,8.41,0.81,1.24,2.69,0,old or non-preferred URL still ranking,homepage and legacy URLs share intent,https://www.radianceclinics.com/hair-transplant-bhubaneswar,INTERNAL_LINK,P0
dermal fillers treatment in bhubaneswar,local commercial,https://www.radianceclinics.com/fillers/,https://www.radianceclinics.com/dermal-fillers-bhubaneswar,0,0,80,68,20.01,21.97,1.96,0.00,0.00,0,old or non-preferred URL still ranking,legacy filler URL and generic injectable page split intent,https://www.radianceclinics.com/dermal-fillers-bhubaneswar,REDIRECT_AND_INTERNAL_LINK,P0
prp treatment in bhubaneswar,local commercial,https://www.radianceclinics.com/,https://www.radianceclinics.com/treatments/hair-restoration/prp-gfc-scalp-therapy,2,3,61,63,1.02,3.90,2.88,3.28,4.76,0,old or non-preferred URL still ranking,homepage and legacy PRP URL share intent,https://www.radianceclinics.com/treatments/hair-restoration/prp-gfc-scalp-therapy,PRESERVE,P0
best hair doctor in bhubaneswar,local commercial,,,5,1,318,317,5.75,5.97,0.22,1.57,0.32,4,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P1
radiance hair clinic bhubaneswar,branded,,,3,0,41,14,1.00,1.00,0,7.32,0.00,3,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P1
dermatologist bhubaneswar,local commercial,,,3,0,129,109,9.53,9.98,0.45,2.33,0.00,3,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P1
tattoo removal shop near me,local commercial,,,3,0,6,0,3.33,,0,50.00,0.00,3,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P1
hair treatment in bhubaneswar,local commercial,,,4,1,333,331,13.06,12.39,-0.67,1.20,0.30,3,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P1
radiance skin and hair clinic,branded,,,3,1,207,130,11.82,16.25,4.43,1.45,0.77,2,position decline requiring page-level review,not established,,"Review intent match, indexation and internal links",P1
bhubaneswar hair transplant clinic,local commercial,,,3,1,95,75,2.19,2.40,0.21,3.16,1.33,2,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P1
wart removal clinic near me,local commercial,,,2,0,33,19,7.88,9.16,1.28,6.06,0.00,2,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P1
hair treatment near me,local commercial,,,2,0,28,15,7.36,10.33,2.97,7.14,0.00,2,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P1
hair fall treatment near me,local commercial,,,2,0,13,6,6.85,8.67,1.82,15.38,0.00,2,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P1
earlobe repair near me,local informational,,,2,0,9,6,5.00,5.50,0.5,22.22,0.00,2,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P1
laser treatment in bhubaneswar,local commercial,,,2,0,72,116,11.67,12.24,0.57,2.78,0.00,2,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P1
laser hair removal cost in bhubaneswar,local commercial,,,2,0,35,37,14.14,21.11,6.97,5.71,0.00,2,position decline requiring page-level review,not established,,"Review intent match, indexation and internal links",P1
gfc hair treatment,commercial,,,1,0,146,28,32.19,23.25,-8.94,0.68,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P1
permanent hair removal,commercial,,,1,0,51,0,36.88,,0,1.96,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P1
radiance skin & hair clinic,branded,,,2,1,82,53,28.99,35.74,6.75,2.44,1.89,1,position decline requiring page-level review,not established,,"Review intent match, indexation and internal links",P1
radiant skin and hair clinic,commercial,,,1,0,7,5,3.29,17.60,14.31,14.29,0.00,1,position decline requiring page-level review,not established,,"Review intent match, indexation and internal links",P1
skin laser treatment,commercial,,,1,0,5,8,3.20,8.25,5.05,20.00,0.00,1,position decline requiring page-level review,not established,,"Review intent match, indexation and internal links",P1
acne checker,informational,,,0,0,1123,20,11.49,30.60,19.11,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
skin doctor,commercial,,,0,0,1630,814,38.01,33.68,-4.33,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P1
dandruff treatment,commercial,,,0,0,503,114,5.67,5.05,-0.62,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P1
acne prone skin,informational,,,0,0,382,151,28.37,27.43,-0.94,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P1
ฉีด gfc ผม,commercial,,,0,0,285,108,44.44,47.27,2.83,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P1
gfc procedure,commercial,,,0,0,274,111,5.50,6.49,0.99,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P1
hair specialist,commercial,,,0,0,225,116,68.57,61.91,-6.66,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P1
hair transplant in kolkata,commercial,,,0,0,200,95,39.13,41.07,1.94,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P1
lip pigmentation treatment,commercial,,,0,0,123,27,30.59,7.93,-22.66,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P1
skin care doctors,informational,,,0,0,172,88,42.65,48.10,5.45,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
hair transplant candidates,commercial,,,0,0,137,61,77.51,74.77,-2.74,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P1
hair transplant clinic in kolkata,commercial,,,0,0,167,92,43.05,38.42,-4.63,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P1
radiance skin,branded,,,0,0,174,103,8.40,10.91,2.51,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P1
skin treatment doctor,commercial,,,0,0,103,34,48.71,39.62,-9.09,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P1
hair removal treatment,commercial,,,0,0,242,174,49.95,53.76,3.81,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
gfc treatment for hair,commercial,,,0,0,76,8,23.88,17.50,-6.38,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P1
check acne,informational,,,0,0,102,37,1.74,2.08,0.34,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P1
skin care dr,informational,,,0,0,109,48,8.53,8.62,0.09,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P1
best hair transplant clinic in bhubaneswar,local commercial,,,2,5,340,281,8.96,9.40,0.44,0.59,1.78,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P1
hair doctor cuttack,commercial,,,0,0,109,50,9.83,10.80,0.97,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P1
is laser hair removal permanent,informational,,,0,0,57,25,25.19,31.44,6.25,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
best hair treatment in kolkata,commercial,,,0,0,34,6,12.44,22.50,10.06,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
hair rejuvenation treatment,commercial,,,0,0,50,30,57.30,66.73,9.43,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
best hair transplant kolkata,commercial,,,0,0,36,17,25.67,34.12,8.45,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
piercing,informational,,,0,0,25,8,9.92,45.88,35.96,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
diode laser hair removal in newtown,commercial,,,0,0,25,14,39.80,50.21,10.41,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
weight loss clinic,commercial,,,0,0,17,6,41.06,60.67,19.61,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
kolkata best hair transplant,commercial,,,0,0,13,4,61.31,69.25,7.94,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
how long do ombre brows last,informational,,,0,0,14,6,28.86,40.17,11.31,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
beauty clinic treatments,commercial,,,0,0,14,7,21.29,31.43,10.14,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
lip pigmentation laser treatment,commercial,,,0,0,11,4,29.18,36.75,7.57,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
body reshaping doctor in bhubaneswar,local commercial,,,0,0,11,5,22.82,30.20,7.38,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
laser tattoo removal treatment in bhubaneswar,local commercial,https://www.radianceclinics.com/tattoo-removal-radiance/,https://www.radianceclinics.com/tattoo-removal-bhubaneswar,0,0,31,26,25.13,28.42,3.29,0.00,0.00,0,old or non-preferred URL still ranking,legacy tattoo removal URL owns historical visibility,https://www.radianceclinics.com/tattoo-removal-bhubaneswar,REDIRECT_AND_INTERNAL_LINK,P1
hair transplant specialist,commercial,,,0,0,16,11,73.44,80.91,7.47,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
keratin treatment price in bbsr,local commercial,,,0,0,10,6,41.10,49.83,8.73,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
radiance hair studio,branded,,,0,0,8,5,26.25,41.60,15.35,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
radiant hair clinic,commercial,,,0,0,8,6,6.00,16.33,10.33,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
hydrafacial,informational,,,0,0,8,6,24.12,32.17,8.05,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
hair restoration near me,local informational,,,0,0,6,4,5.33,32.25,26.92,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
roots clinic,commercial,,,0,0,7,6,34.71,43.00,8.29,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
hair clinic,commercial,,,0,0,30,65,25.17,33.32,8.15,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
site:www.radianceclinics.com,informational,,,0,0,23,61,1.00,61.66,60.66,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
best cosmetologist in bhubaneswar,local informational,,,0,0,10,44,11.90,22.82,10.92,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
vitiligo treatment in bhubaneswar,local commercial,,,0,0,11,39,6.55,20.38,13.83,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
wart doctor,commercial,,,0,0,23,39,51.91,59.77,7.86,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
dermatologist wart removal,commercial,,,0,0,28,35,65.21,73.60,8.39,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
radiance skin and hair care,branded,,,0,0,28,34,41.54,53.79,12.25,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
best doctor for hair treatment in bhubaneswar,local commercial,,,0,1,9,30,6.67,12.40,5.73,0.00,3.33,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
forehead lines,informational,,,0,0,10,25,70.00,79.28,9.28,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
growth factor therapy,informational,,,0,0,5,16,42.40,52.06,9.66,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
new radiance,branded,,,0,0,12,13,46.50,53.31,6.81,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
skin doctor treatment,commercial,,,0,0,9,12,74.33,81.67,7.34,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
hair transplant cost bhubaneswar,local commercial,,,0,0,7,10,3.43,26.80,23.37,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
gfc hair treatment near me,local commercial,,,0,0,6,10,7.00,14.40,7.4,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
ultherapy,informational,,,0,0,5,8,36.20,47.00,10.8,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
best hair and dental center in bhubaneswar,local informational,,,0,0,8,8,32.50,44.00,11.5,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
vitiligo surgery treatment in bhubaneswar,local commercial,,,0,0,6,7,11.50,21.86,10.36,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
anti acne treatment,commercial,,,0,0,5,5,47.00,72.40,25.4,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P1
hair patch service near me,local informational,,,1,0,99,50,8.51,7.96,-0.55,1.01,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
sambalpur hair transplant clinic,commercial,,,1,0,29,3,6.00,5.33,-0.67,3.45,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
best hair patch in bhubaneswar,local informational,,,2,1,62,40,4.02,6.88,2.86,3.23,2.50,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
best hair doctor in balasore,commercial,,,1,0,49,27,6.61,7.04,0.43,2.04,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
radiance hair clinic,branded,,,4,3,159,145,36.21,33.55,-2.66,2.52,2.07,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
hair specialist bhubaneswar,local commercial,,,1,0,62,48,4.66,6.85,2.19,1.61,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
hydrafacial bhubaneswar,local informational,,,1,0,23,14,6.83,6.29,-0.54,4.35,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
prp hair treatment in bhubaneswar,local commercial,,,1,0,18,9,3.83,3.56,-0.27,5.56,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
best gfc treatment near me,local commercial,,,1,0,10,4,5.70,5.50,-0.2,10.00,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
best hair transplant clinic in india,commercial,,,1,0,6,0,12.67,,0,16.67,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
fat loss treatment near me,local commercial,,,1,0,5,0,33.80,,0,20.00,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
laser skin treatment near me,local commercial,,,1,0,5,0,7.00,,0,20.00,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
hair doctor in bhubaneswar,local commercial,,,1,0,139,135,11.16,8.44,-2.72,0.72,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
microblading near me,local informational,,,1,0,9,8,4.00,5.12,1.12,11.11,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
best dermatologist bhubaneswar,local commercial,,,2,1,141,156,6.97,6.87,-0.1,1.42,0.64,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
radiance,branded,,,4,3,93,123,4.75,6.50,1.75,4.30,2.44,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
hair transplant clinic near me,local commercial,,,1,0,62,79,3.56,3.96,0.4,1.61,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
hair transplant cost in bhubaneswar,local commercial,,,1,0,54,76,32.94,26.70,-6.24,1.85,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
best skin clinic in bhubaneswar,local commercial,,,1,0,45,70,14.67,12.04,-2.63,2.22,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
best skin specialist in bhubaneswar,local commercial,,,1,0,64,64,12.48,8.33,-4.15,1.56,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
skin care clinic bhubaneswar,local commercial,,,1,0,59,59,10.68,10.86,0.18,1.69,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
best hair transplant in odisha,local commercial,,,1,0,52,55,2.38,2.84,0.46,1.92,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
hair treatment bhubaneswar,local commercial,,,1,0,48,49,7.19,10.22,3.03,2.08,0.00,1,position decline requiring page-level review,not established,,"Review intent match, indexation and internal links",P2
lice treatment in bhubaneswar,local commercial,,,1,0,31,34,2.13,2.62,0.49,3.23,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
clinics in bhubaneswar,local informational,,,2,1,20,23,8.00,9.70,1.7,10.00,4.35,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
best hair doctor in odisha,local commercial,,,1,0,20,23,5.00,6.57,1.57,5.00,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
yes,informational,,,1,0,17,19,4.06,3.21,-0.85,5.88,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
best hydra facial in bhubaneswar,local informational,,,1,0,16,19,4.19,4.42,0.23,6.25,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
berhampur hair treatment,commercial,,,1,0,10,16,6.70,6.69,-0.01,10.00,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
pseudo acanthosis nigricans,informational,,,1,0,8,8,20.62,12.88,-7.74,12.50,0.00,1,CTR or demand decline requiring validation,not established,,Validate query-to-page ownership before changing content,P2
ear piercing bhubaneswar,local informational,,,0,0,94,50,11.30,11.44,0.14,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
what is bio hair,informational,,,0,0,63,19,10.14,9.05,-1.09,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
best hair transplant clinic in kolkata,commercial,,,0,0,74,35,32.89,33.54,0.65,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair treatment kolkata,commercial,,,0,0,52,13,8.08,10.08,2,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
acne check,informational,,,0,0,156,118,11.18,9.28,-1.9,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair transplant,commercial,,,0,1,91,53,4.80,5.08,0.28,0.00,1.89,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
doctor skin,commercial,,,0,0,90,54,20.80,14.83,-5.97,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
radiance skin care,branded,,,0,0,63,27,20.81,25.11,4.3,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
best hair doctor in kolkata,commercial,,,0,0,34,0,11.91,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair treatment in kolkata,commercial,,,0,0,57,25,23.58,12.88,-10.7,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
botox treatment,commercial,,,0,0,63,32,26.00,24.41,-1.59,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
best hair clinic in kolkata,commercial,,,0,0,53,22,27.62,25.27,-2.35,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
ear piercing near me,local informational,,,0,0,31,0,11.84,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
bio treatment for hair,commercial,,,0,0,43,13,9.21,9.00,-0.21,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
doctor facial,commercial,,,0,0,66,37,3.53,3.65,0.12,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
what is gfc,informational,,,0,0,39,10,13.69,16.00,2.31,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair transplant density,commercial,,,0,0,27,0,31.89,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair care after hair transplant,commercial,,,0,0,69,43,79.43,79.00,-0.43,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair patch near me,local informational,,,0,0,35,9,6.20,5.44,-0.76,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
radiance hair and sk,branded,,,0,0,54,29,48.87,52.93,4.06,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
