query,clicks_7d,impressions_7d,ctr_7d,position_7d,clicks_28d,impressions_28d,ctr_28d,position_28d,clicks_previous_28d,impressions_previous_28d,ctr_previous_28d,position_previous_28d,click_change_28d,impression_change_28d,clicks_3mo,impressions_3mo,ctr_3mo,position_3mo
hair removal laser,0,5,0.00,1.00,0,95,0.00,1.00,0,1,0.00,54.00,0,94,0,104,0.00,1.81
hair transplant in kolkata,,,,,0,95,0.00,41.07,0,200,0.00,39.13,0,-105,0,551,0.00,40.99
hair transplant clinic in kolkata,,,,,0,92,0.00,38.42,0,167,0.00,43.05,0,-75,0,463,0.00,42.07
best hair treatment in bhubaneswar,0,18,0.00,9.78,1,88,1.14,8.26,0,96,0.00,7.61,1,-8,2,299,0.67,8.58
skin care doctors,,,,,0,88,0.00,48.10,0,172,0.00,42.65,0,-84,0,417,0.00,39.42
skin doctors,,,,,0,85,0.00,48.38,0,56,0.00,51.91,0,29,0,226,0.00,49.04
skin specialist in bhubaneswar,0,16,0.00,14.62,0,84,0.00,14.25,0,88,0.00,15.26,0,-4,0,294,0.00,15.65
top 10 hair transplant in bhubaneswar,0,15,0.00,7.73,0,83,0.00,7.71,0,95,0.00,8.31,0,-12,1,290,0.34,6.87
dermatologist near me,0,12,0.00,12.25,0,82,0.00,11.46,0,69,0.00,10.13,0,13,0,247,0.00,10.79
skin doctor bhubaneswar,1,21,4.76,16.24,1,81,1.23,14.40,0,97,0.00,15.15,1,-16,1,285,0.35,14.24
hydra facial in bhubaneswar,1,15,6.67,25.07,1,80,1.25,15.44,1,82,1.22,12.62,0,-2,3,270,1.11,13.82
hair transplant clinic near me,0,11,0.00,8.27,0,79,0.00,3.96,1,62,1.61,3.56,-1,17,1,225,0.44,3.97
best hair transplant near me,0,15,0.00,3.93,1,78,1.28,5.15,0,48,0.00,3.23,1,30,1,182,0.55,4.34
hair transplant cost in bhubaneswar,0,24,0.00,26.29,0,76,0.00,26.70,1,54,1.85,32.94,-1,22,1,194,0.52,26.10
bhubaneswar hair transplant clinic,0,24,0.00,3.38,1,75,1.33,2.40,3,95,3.16,2.19,-2,-20,8,287,2.79,2.43
radiance skin and hair clinic bhubaneswar,1,6,16.67,1.00,11,70,15.71,1.23,1,18,5.56,1.00,10,52,12,88,13.64,1.18
hair prp treatment in bhubaneswar,0,17,0.00,10.35,0,70,0.00,11.36,0,66,0.00,12.21,0,4,0,198,0.00,9.96
best skin clinic in bhubaneswar,0,15,0.00,10.87,0,70,0.00,12.04,1,45,2.22,14.67,-1,25,1,195,0.51,13.47
best hair transplant in kolkata,,,,,0,69,0.00,19.51,0,58,0.00,20.00,0,11,0,215,0.00,20.47
radiance bhubaneswar,1,18,5.56,1.00,3,68,4.41,1.00,0,33,0.00,14.45,3,35,7,127,5.51,4.50
dermal fillers treatment in bhubaneswar,0,18,0.00,14.28,0,68,0.00,21.97,0,80,0.00,20.01,0,-12,0,260,0.00,20.02
hair clinic near me,0,11,0.00,9.55,0,68,0.00,7.19,0,88,0.00,6.18,0,-20,0,254,0.00,6.55
botox treatment in bhubaneswar,0,17,0.00,21.41,0,66,0.00,16.55,2,72,2.78,12.17,-2,-6,2,245,0.82,14.01
hair clinic,0,14,0.00,36.93,0,65,0.00,33.32,0,30,0.00,25.17,0,35,0,129,0.00,29.26
best skin specialist in bhubaneswar,0,19,0.00,8.68,0,64,0.00,8.33,1,64,1.56,12.48,-1,0,1,230,0.43,11.45
prp treatment in bhubaneswar,2,20,10.00,5.25,3,63,4.76,3.90,2,61,3.28,1.02,1,2,5,199,2.51,2.90
site:www.radianceclinics.com,0,4,0.00,1.00,0,61,0.00,61.66,0,23,0.00,1.00,0,38,0,108,0.00,35.26
hair transplant candidates,,,,,0,61,0.00,74.77,0,137,0.00,77.51,0,-76,0,354,0.00,78.44
hair transplant clinic in odisha,0,14,0.00,1.57,0,59,0.00,1.46,0,49,0.00,1.39,0,10,0,181,0.00,1.84
skin care clinic bhubaneswar,0,5,0.00,11.40,0,59,0.00,10.86,1,59,1.69,10.68,-1,0,1,147,0.68,10.65
radiance hair and skin clinic,1,11,9.09,36.27,1,57,1.75,27.09,0,43,0.00,26.00,1,14,1,153,0.65,29.38
tattoo removal bhubaneswar,0,2,0.00,6.00,1,57,1.75,6.63,3,114,2.63,5.75,-2,-57,6,350,1.71,7.05
facial doctor,,,,,0,57,0.00,7.07,0,70,0.00,7.79,0,-13,0,198,0.00,8.07
acne skin treatment in bhubaneswar,0,16,0.00,21.88,0,55,0.00,14.82,0,58,0.00,15.98,0,-3,0,153,0.00,13.50
best hair transplant in odisha,0,14,0.00,3.21,0,55,0.00,2.84,1,52,1.92,2.38,-1,3,4,166,2.41,2.67
hair doctor,0,12,0.00,8.08,0,55,0.00,6.55,0,46,0.00,8.15,0,9,0,157,0.00,8.09
skin and hair clinic bhubaneswar,0,15,0.00,3.73,0,54,0.00,3.57,0,31,0.00,3.10,0,23,2,133,1.50,3.76
doctor skin,,,,,0,54,0.00,14.83,0,90,0.00,20.80,0,-36,0,271,0.00,18.80
bhubaneswar hair transplant,0,16,0.00,23.75,0,53,0.00,17.08,0,16,0.00,22.06,0,37,0,69,0.00,18.23
radiance skin & hair clinic,0,12,0.00,36.58,1,53,1.89,35.74,2,82,2.44,28.99,-1,-29,5,304,1.64,28.23
hair transplant,0,2,0.00,4.00,1,53,1.89,5.08,0,91,0.00,4.80,1,-38,2,241,0.83,4.67
laser treatment bhubaneswar,0,23,0.00,5.91,0,50,0.00,6.62,0,38,0.00,12.03,0,12,0,143,0.00,10.10
prp treatment,0,7,0.00,1.57,1,50,2.00,2.42,0,38,0.00,2.87,1,12,1,130,0.77,2.90
hair patch service near me,,,,,0,50,0.00,7.96,1,99,1.01,8.51,-1,-49,2,332,0.60,7.32
hair doctor cuttack,,,,,0,50,0.00,10.80,0,109,0.00,9.83,0,-59,0,270,0.00,9.89
ear piercing bhubaneswar,,,,,0,50,0.00,11.44,0,94,0.00,11.30,0,-44,0,188,0.00,11.40
gfc ผม,,,,,0,50,0.00,36.44,0,51,0.00,34.33,0,-1,0,164,0.00,34.83
hair treatment bhubaneswar,0,13,0.00,12.46,0,49,0.00,10.22,1,48,2.08,7.19,-1,1,1,157,0.64,7.09
hair transplant service bhubaneswar,0,12,0.00,1.50,0,49,0.00,1.37,0,45,0.00,3.44,0,4,0,144,0.00,1.90
prp treatment for hair in bhubaneswar,0,15,0.00,4.93,0,48,0.00,5.52,0,39,0.00,6.87,0,9,0,139,0.00,6.05
best hair restoration in odisha,0,12,0.00,1.42,0,48,0.00,1.42,0,69,0.00,2.07,0,-21,0,187,0.00,1.77
hair specialist bhubaneswar,0,11,0.00,18.91,0,48,0.00,6.85,1,62,1.61,4.66,-1,-14,1,164,0.61,5.41
hair doctor in berhampur,0,7,0.00,11.43,0,48,0.00,7.52,0,28,0.00,6.86,0,20,0,117,0.00,7.58
hair specialist doctor in berhampur,,,,,0,48,0.00,6.21,0,54,0.00,6.93,0,-6,0,163,0.00,6.60
skin care dr,,,,,0,48,0.00,8.62,0,109,0.00,8.53,0,-61,1,255,0.39,8.21
บำรุงผม gfc,,,,,0,48,0.00,34.15,0,58,0.00,35.31,0,-10,0,185,0.00,35.55
glutathione treatment in bhubaneswar,1,10,10.00,32.70,1,47,2.13,22.23,0,53,0.00,18.55,1,-6,1,208,0.48,19.56
best laser treatment in bhubaneswar,0,17,0.00,11.88,0,47,0.00,13.70,0,4,0.00,9.00,0,43,0,66,0.00,11.56
hair transplant in odisha,0,11,0.00,3.27,1,45,2.22,3.47,1,45,2.22,2.47,0,0,7,143,4.90,2.77
best dermatologist in bhubaneswar for hair,0,18,0.00,2.67,0,44,0.00,2.80,0,49,0.00,2.82,0,-5,2,168,1.19,3.12
aft treatment for hair,0,15,0.00,7.67,0,44,0.00,7.36,0,32,0.00,8.00,0,12,0,127,0.00,7.60
best cosmetologist in bhubaneswar,0,12,0.00,31.25,0,44,0.00,22.82,0,10,0.00,11.90,0,34,0,74,0.00,17.34
chemical peeling cost,,,,,0,44,0.00,11.75,0,37,0.00,12.73,0,7,0,123,0.00,12.13
skin doctor near me,0,16,0.00,5.38,0,43,0.00,7.53,0,30,0.00,8.57,0,13,0,110,0.00,7.75
hair transplant near me,0,7,0.00,4.43,0,43,0.00,4.98,0,43,0.00,5.07,0,0,2,168,1.19,5.47
best hair doctor in berhampur,,,,,0,43,0.00,6.91,0,42,0.00,7.36,0,1,0,132,0.00,7.39
nose piercing near me,,,,,0,43,0.00,8.40,0,48,0.00,8.98,0,-5,0,99,0.00,8.85
hair specialist doctor kolkata,,,,,0,43,0.00,9.84,0,34,0.00,10.74,0,9,0,79,0.00,10.28
hair care after hair transplant,,,,,0,43,0.00,79.00,0,69,0.00,79.43,0,-26,0,170,0.00,81.58
deep acne scars,0,42,0.00,25.40,0,42,0.00,25.40,0,0,0.00,0.00,0,42,0,42,0.00,25.40
services offered by radiance skin & hair clinics,0,7,0.00,1.00,3,42,7.14,1.93,0,35,0.00,1.00,3,7,3,126,2.38,1.32
aesthetic clinic bhubaneswar,0,13,0.00,6.62,2,41,4.88,7.78,0,22,0.00,9.23,2,19,2,96,2.08,8.36
bio hair transplant,0,1,0.00,4.00,0,41,0.00,13.61,0,44,0.00,14.25,0,-3,1,143,0.70,12.83
derma radiance skin & hair clinic,,,,,0,41,0.00,9.59,0,62,0.00,7.73,0,-21,4,228,1.75,8.95
best hair patch in bhubaneswar,0,6,0.00,10.67,1,40,2.50,6.88,2,62,3.23,4.02,-1,-22,5,213,2.35,4.69
how to reverse the signs of ageing,,,,,0,40,0.00,56.35,0,46,0.00,51.67,0,-6,0,160,0.00,53.52
hair restoration in bhubaneswar,0,13,0.00,1.77,0,39,0.00,1.54,0,39,0.00,2.10,0,0,0,132,0.00,1.55
hydra facial price in bhubaneswar,0,12,0.00,8.08,0,39,0.00,8.82,0,53,0.00,10.04,0,-14,0,154,0.00,10.58
hair transplantation in bhubaneswar,0,11,0.00,5.00,0,39,0.00,5.00,0,47,0.00,5.00,0,-8,0,146,0.00,4.62
vitiligo treatment in bhubaneswar,0,8,0.00,44.88,0,39,0.00,20.38,0,11,0.00,6.55,0,28,1,86,1.16,14.13
piercing near me,,,,,0,39,0.00,10.18,0,54,0.00,10.19,0,-15,0,157,0.00,10.24
wart doctor,,,,,0,39,0.00,59.77,0,23,0.00,51.91,0,16,0,88,0.00,56.47
aft treatment,0,9,0.00,17.78,0,38,0.00,18.32,0,26,0.00,17.46,0,12,0,97,0.00,20.73
skin radiance clinic,0,9,0.00,32.89,1,38,2.63,36.03,0,25,0.00,33.76,1,13,1,103,0.97,35.31
radiance clinics,0,4,0.00,6.25,0,38,0.00,9.37,0,21,0.00,6.57,0,17,3,96,3.12,7.61
best hair doctor in cuttack,0,1,0.00,10.00,0,38,0.00,10.71,0,60,0.00,10.88,0,-22,0,200,0.00,10.09
laser hair removal cost in bhubaneswar,0,9,0.00,31.89,0,37,0.00,21.11,2,35,5.71,14.14,-2,2,3,106,2.83,22.67
bhubaneswar best hair transplant clinic,0,8,0.00,6.38,0,37,0.00,5.27,0,8,0.00,5.62,0,29,0,45,0.00,5.33
laser hair removal near me,0,8,0.00,8.50,0,37,0.00,8.27,0,35,0.00,7.14,0,2,0,105,0.00,7.99
hair specialist doctor near me,0,8,0.00,9.25,0,37,0.00,8.22,0,38,0.00,7.82,0,-1,0,111,0.00,8.08
best prp treatment in bhubaneswar,0,7,0.00,4.00,2,37,5.41,3.62,0,22,0.00,3.86,2,15,4,95,4.21,3.44
best hair doctor near me,0,1,0.00,8.00,0,37,0.00,6.76,0,29,0.00,5.97,0,8,0,106,0.00,6.51
check acne,,,,,0,37,0.00,2.08,0,102,0.00,1.74,0,-65,0,266,0.00,1.76
doctor facial,,,,,0,37,0.00,3.65,0,66,0.00,3.53,0,-29,0,205,0.00,4.56
hair fall treatment in bhubaneswar,0,14,0.00,3.21,0,36,0.00,3.72,0,34,0.00,5.09,0,2,2,113,1.77,4.35
pigmentation treatment in bhubaneswar,0,11,0.00,17.64,0,36,0.00,15.89,0,0,0.00,0.00,0,36,0,36,0.00,15.89
vampire facial treatment in bhubaneswar,0,10,0.00,13.60,0,36,0.00,10.89,0,41,0.00,9.00,0,-5,0,130,0.00,9.40
dermal filler in bhubaneswar,0,8,0.00,9.75,0,36,0.00,9.64,0,35,0.00,8.49,0,1,0,132,0.00,7.80
vampire facial in bhubaneswar,0,7,0.00,17.71,0,36,0.00,7.86,0,38,0.00,6.29,0,-2,0,120,0.00,7.48
gfc,,,,,0,35,0.00,26.83,0,48,0.00,27.27,0,-13,0,162,0.00,25.15
best hair transplant clinic in kolkata,,,,,0,35,0.00,33.54,0,74,0.00,32.89,0,-39,0,181,0.00,35.60
dermatologist wart removal,,,,,0,35,0.00,73.60,0,28,0.00,65.21,0,7,0,88,0.00,71.22
lice treatment in bhubaneswar,0,10,0.00,1.60,0,34,0.00,2.62,1,31,3.23,2.13,-1,3,1,114,0.88,2.02
exosomes treatment in bhubaneswar,0,9,0.00,45.22,0,34,0.00,38.00,0,30,0.00,33.63,0,4,0,105,0.00,34.08
gfc treatment in bhubaneswar,0,7,0.00,3.57,1,34,2.94,3.41,0,10,0.00,3.10,1,24,1,47,2.13,3.30
best hair transplant clinic near me,0,5,0.00,1.00,0,34,0.00,1.94,0,30,0.00,2.17,0,4,0,78,0.00,2.03
hair doctor berhampur,0,5,0.00,11.20,0,34,0.00,7.88,0,37,0.00,7.19,0,-3,0,101,0.00,7.59
radiance skin and hair care,0,3,0.00,68.33,0,34,0.00,53.79,0,28,0.00,41.54,0,6,0,113,0.00,48.47
skin treatment doctor,,,,,0,34,0.00,39.62,0,103,0.00,48.71,0,-69,0,255,0.00,44.28
skin doctor in bhubaneswar,0,9,0.00,15.11,0,33,0.00,15.30,0,22,0.00,12.27,0,11,0,94,0.00,15.52
skin specialist bhubaneswar,0,9,0.00,16.22,0,33,0.00,17.33,0,38,0.00,18.50,0,-5,0,108,0.00,17.87
trichologist bhubaneswar,0,11,0.00,1.09,0,32,0.00,1.19,0,19,0.00,1.16,0,13,1,61,1.64,1.15
laser hair removal treatment in bhubaneswar,0,9,0.00,9.33,0,32,0.00,8.59,0,23,0.00,11.74,0,9,1,102,0.98,10.12
top 10 skin specialist in odisha,0,9,0.00,10.11,0,32,0.00,9.09,0,27,0.00,9.07,0,5,0,91,0.00,8.81
best hair treatment doctor in bhubaneswar,0,7,0.00,6.43,0,32,0.00,5.50,0,21,0.00,2.81,0,11,0,66,0.00,4.12
carbon facial in bhubaneswar,0,7,0.00,24.00,0,32,0.00,15.06,0,33,0.00,12.21,0,-1,0,117,0.00,12.80
botox treatment,0,2,0.00,3.00,0,32,0.00,24.41,0,63,0.00,26.00,0,-31,0,140,0.00,27.91
scarring alopecia,,,,,0,32,0.00,91.44,0,44,0.00,88.09,0,-12,0,105,0.00,88.70
skin clinic,0,10,0.00,6.40,0,31,0.00,5.90,0,4,0.00,8.25,0,27,0,44,0.00,6.52
laser treatment price in bhubaneswar,0,8,0.00,1.38,0,31,0.00,1.87,0,22,0.00,1.41,0,9,0,64,0.00,1.66
anti aging treatment in bhubaneswar,0,8,0.00,24.75,0,31,0.00,18.26,0,40,0.00,15.65,0,-9,0,113,0.00,15.68
best skin doctor bhubaneswar,0,7,0.00,10.71,0,31,0.00,9.65,0,33,0.00,9.27,0,-2,0,100,0.00,9.38
microblading eyebrows in bhubaneswar,0,6,0.00,1.00,2,31,6.45,2.39,0,32,0.00,4.31,2,-1,3,99,3.03,3.46
laser for hair removal,0,1,0.00,1.00,0,31,0.00,1.35,0,0,0.00,0.00,0,31,0,32,0.00,1.34
hair patch service in bhubaneswar,,,,,1,31,3.23,2.39,1,24,4.17,3.33,0,7,2,82,2.44,2.82
best doctor for hair treatment in bhubaneswar,0,14,0.00,18.43,1,30,3.33,12.40,0,9,0.00,6.67,1,21,1,41,2.44,10.59
traya bhubaneswar,0,10,0.00,3.60,0,30,0.00,3.37,0,38,0.00,3.47,0,-8,0,117,0.00,3.18
hair fall doctor near me,0,9,0.00,9.67,0,30,0.00,8.47,0,21,0.00,8.00,0,9,0,83,0.00,7.88
aft laser,0,7,0.00,29.00,0,30,0.00,26.77,0,10,0.00,25.90,0,20,0,54,0.00,27.11
radiant hair transplant clinic,0,6,0.00,16.67,0,30,0.00,37.83,0,40,0.00,38.08,0,-10,0,129,0.00,33.54
best dermatologist in odisha,0,3,0.00,8.67,0,30,0.00,7.53,0,34,0.00,6.91,0,-4,0,108,0.00,7.16
hair rejuvenation treatment,,,,,0,30,0.00,66.73,0,50,0.00,57.30,0,-20,0,144,0.00,60.58
face clinic,0,11,0.00,8.45,0,29,0.00,8.72,0,20,0.00,10.75,0,9,0,62,0.00,9.39
best hair transplant clinic in odisha,0,9,0.00,4.89,1,29,3.45,3.83,1,27,3.70,3.41,0,2,2,116,1.72,3.32
radiance salon,0,9,0.00,7.67,0,29,0.00,8.17,0,17,0.00,7.59,0,12,0,99,0.00,8.65
radiance skin antiaging & hair transplant clinic,0,8,0.00,45.38,0,29,0.00,36.83,0,25,0.00,35.48,0,4,0,99,0.00,37.08
platelet rich plasma in hair treatment in bhubaneswar,0,7,0.00,27.57,0,29,0.00,30.31,0,31,0.00,34.45,0,-2,0,109,0.00,33.53
radiance hair and sk,0,7,0.00,51.71,0,29,0.00,52.93,0,54,0.00,48.87,0,-25,0,137,0.00,47.01
rupam clinic,0,6,0.00,26.00,0,29,0.00,26.45,0,43,0.00,27.63,0,-14,0,99,0.00,28.30
hair treatment berhampur,,,,,1,29,3.45,5.55,0,17,0.00,5.53,1,12,1,76,1.32,5.70
pseudoacanthosis nigricans,,,,,1,29,3.45,11.52,0,17,0.00,17.71,1,12,1,72,1.39,13.72
zap laser,,,,,0,29,0.00,29.34,0,28,0.00,29.36,0,1,0,84,0.00,31.55
best hair fall doctor in bhubaneswar,0,7,0.00,1.00,1,28,3.57,3.82,0,8,0.00,3.88,1,20,1,36,2.78,3.83
best skin care clinic in bhubaneswar,0,6,0.00,9.00,0,28,0.00,13.61,0,27,0.00,12.81,0,1,0,103,0.00,12.69
hydrafacial in bhubaneswar,0,6,0.00,12.33,0,28,0.00,12.68,0,40,0.00,10.68,0,-12,0,113,0.00,10.70
skin care clinic in bhubaneswar,0,6,0.00,12.33,0,28,0.00,10.54,0,23,0.00,9.26,0,5,0,94,0.00,11.22
skin booster treatment in bhubaneswar,0,5,0.00,36.60,0,28,0.00,43.75,0,26,0.00,43.46,0,2,0,90,0.00,44.78
gfc hair treatment,0,3,0.00,11.00,0,28,0.00,23.25,1,146,0.68,32.19,-1,-118,2,402,0.50,34.53
trichologist near me,,,,,0,28,0.00,6.50,0,19,0.00,5.68,0,9,0,65,0.00,5.88
doctor skin care,,,,,0,28,0.00,39.93,0,27,0.00,36.00,0,1,0,144,0.00,29.32
hair specialist doctor,0,9,0.00,5.89,0,27,0.00,5.81,0,25,0.00,9.12,0,2,0,79,0.00,7.03
radiance skin care,0,6,0.00,2.00,0,27,0.00,25.11,0,63,0.00,20.81,0,-36,0,186,0.00,19.24
bhubaneswar best hair doctor,0,5,0.00,5.60,1,27,3.70,7.52,0,5,0.00,10.20,1,22,1,32,3.12,7.94
who is the best skin specialist in bhubaneswar,0,4,0.00,8.50,0,27,0.00,8.67,0,23,0.00,9.65,0,4,0,89,0.00,9.28
best hair doctor in balasore,0,2,0.00,2.00,0,27,0.00,7.04,1,49,2.04,6.61,-1,-22,2,126,1.59,6.52
lip pigmentation treatment,,,,,0,27,0.00,7.93,0,123,0.00,30.59,0,-96,1,284,0.35,25.34
dr satyarth prakash,4,11,36.36,1.64,6,26,23.08,2.81,2,26,7.69,2.62,4,0,8,89,8.99,2.81
laser treatment,0,9,0.00,10.78,0,26,0.00,9.81,0,11,0.00,9.27,0,15,0,104,0.00,10.08
mole removal bhubaneswar,0,6,0.00,4.33,0,26,0.00,7.23,0,12,0.00,9.33,0,14,0,78,0.00,8.29
bhubaneswar hair doctor,0,5,0.00,7.40,0,26,0.00,5.58,0,23,0.00,7.65,0,3,0,71,0.00,6.34
laser tattoo removal treatment in bhubaneswar,0,4,0.00,36.00,0,26,0.00,28.42,0,31,0.00,25.13,0,-5,0,93,0.00,23.68
