outlet,article URL,backlink present yes/no,current backlink target,desired Radiance target page,outreach priority,verification status,topic,publication date,official logo URL,source record,audited at
Indianmirrordaily,https://www.indianmirrordaily.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Indiantimespost,https://www.indiantimespost.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Indiaoutlooknews,https://www.indiaoutlooknews.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Indibizpulse,https://www.indibizpulse.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Innovateindianews,https://www.innovateindianews.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Insidernewstimes,https://www.insidernewstimes.co.in/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Metrodailynews,https://www.metrodailynews.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Mintnews24,https://www.mintnews24.co.in/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Nationaloutlookdaily,https://www.nationaloutlookdaily.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Nationalsentinelnews,https://www.nationalsentinelnews.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Nationwideherald,https://www.nationwideherald.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable: URLError,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Newstoday24X7,https://www.newstoday24x7.co.in/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Newswireofindia,https://www.newswireofindia.co.in/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable: URLError,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Orbitsamachar,https://www.orbitsamachar.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Rashtramirror,https://www.rashtramirror.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Sagaofindia,https://www.sagaofindia.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Smartbharatnews,https://www.smartbharatnews.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Startupsandesh,https://www.startupsandesh.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Theakhandtimes,https://www.theakhandtimes.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Thecapitalbulletin,https://www.thecapitalbulletin.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Thechronicledesk,https://www.thechronicledesk.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Thedeshupdate,https://www.thedeshupdate.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Theindiaforbesnews,https://www.theindiaforbesnews.co.in/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Theindiatribune,https://www.theindiatribune.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Thekhabari,https://www.thekhabari.co.in/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Thekhabarmirror,https://www.thekhabarmirror.co.in/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Thekhabarsansar,https://www.thekhabarsansar.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Themetropolitantimes,https://www.themetropolitantimes.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Themorningglobe,https://www.themorningglobe.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Thenationaloutlook,https://www.thenationaloutlook.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable: URLError,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Theneoindianews,https://www.theneoindianews.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Therepublicbrief,https://www.therepublicbrief.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Therepublicnews,https://www.therepublicnews.co.in/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Therepublicvoice,https://www.therepublicvoice.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Theurbantimes,https://www.theurbantimes.top/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Timesnewsexpress,https://www.timesnewsexpress.co.in/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Todaynewsstandard,https://www.todaynewsstandard.co.in/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable: URLError,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Weeklygossip,https://www.weeklygossip.co.in/2026/09/dr-satyartha-prakash-and-new-era-of.html/,no,,/treatments/aesthetic-dermatology,review source,unavailable,Aesthetic Dermatology,,,Dr. Satyartha PrakashSM50.pdf,2026-09-18T16:14:45.010499+00:00
Ahmedabad Bytes,https://ahmedabadbytes.com/dr-satyartha-prakash-and-the-evolution-of-hair-transplantation-in-odisha/,yes,http://www.radianceclinics.com/,/hair-transplant-bhubaneswar,medium,verified live article,Hair Transplant,2026-09-14 20:46:23,https://ahmedabadbytes.com/uploads/logo/logo_679d005b4c410.jpg,SM 3208 Google Sheets,2026-09-18T16:14:45.010499+00:00
Dailyhunt,https://dhunt.in/15x2sQ/,no,,/hair-transplant-bhubaneswar,high,live URL; title needs review,Hair Transplant,2026-09-14T15:17:53.555Z,https://m.dailyhunt.in/_assets/img/favicon-48.png,SM 3208 Google Sheets,2026-09-18T16:14:45.010499+00:00
Entrepreneur Hunt,https://entrepreneurhunt.com/dr-satyartha-prakash-and-the-evolution-of-hair-transplantation-in-odisha/,yes,http://www.radianceclinics.com/,/hair-transplant-bhubaneswar,medium,verified live article,Hair Transplant,2026-09-14 20:46:14,https://entrepreneurhunt.com/uploads/logo/logo_677ff553f23d23.png,SM 3208 Google Sheets,2026-09-18T16:14:45.010499+00:00
Hindustan Bytes,https://hindustanbytes.com/dr-satyartha-prakash-and-the-evolution-of-hair-transplantation-in-odisha/,yes,http://www.radianceclinics.com/,/hair-transplant-bhubaneswar,medium,verified live article,Hair Transplant,2026-09-14 20:46:12,https://hindustanbytes.com/uploads/logo/logo_685e399ef3d593.png,SM 3208 Google Sheets,2026-09-18T16:14:45.010499+00:00
Hindustan Metro,https://hindustanmetro.com/dr-satyartha-prakash-and-the-evolution-of-hair-transplantation-in-odisha/,yes,http://www.radianceclinics.com/,/hair-transplant-bhubaneswar,medium,verified live article,Hair Transplant,2026-09-14 20:46:15,https://hindustanmetro.com/uploads/logo/favicon_69e4bdc74db0a5-24556124.png,SM 3208 Google Sheets,2026-09-18T16:14:45.010499+00:00
IGBWire.com,https://igbwire.com/dr-satyartha-prakash-and-the-evolution-of-hair-transplantation-in-odisha/,yes,http://www.radianceclinics.com/,/hair-transplant-bhubaneswar,medium,verified live article,Hair Transplant,2026-09-14 20:46:22,https://igbwire.com/uploads/logo/logo_69ef846e1913c.jpg,SM 3208 Google Sheets,2026-09-18T16:14:45.010499+00:00
Influencive India,https://influenciveindia.in/dr-satyartha-prakash-and-the-evolution-of-hair-transplantation-in-odisha/,yes,http://www.radianceclinics.com/,/hair-transplant-bhubaneswar,medium,verified live article,Hair Transplant,2026-09-14 20:46:16,https://influenciveindia.in/uploads/logo/logo_68136cd2bd7fb3.png,SM 3208 Google Sheets,2026-09-18T16:14:45.010499+00:00
Punjab Bytes,https://english.punjabbytes.com/dr-satyartha-prakash-and-the-evolution-of-hair-transplantation-in-odisha/,yes,http://www.radianceclinics.com/,/hair-transplant-bhubaneswar,medium,verified live article,Hair Transplant,2026-09-14 20:46:19,https://english.punjabbytes.com/uploads/logo/favicon_672f86e9a5ad75-96067626.jpeg,SM 3208 Google Sheets,2026-09-18T16:14:45.010499+00:00
The Daily Beat,https://thedailybeat.in/dr-satyartha-prakash-and-the-evolution-of-hair-transplantation-in-odisha/,yes,http://www.radianceclinics.com/,/hair-transplant-bhubaneswar,medium,verified live article,Hair Transplant,2026-09-14 20:46:18,https://thedailybeat.in/uploads/logo/logo_677fefe989b063.png,SM 3208 Google Sheets,2026-09-18T16:14:45.010499+00:00
The VIRAL Bytes,https://theviralbytes.in/dr-satyartha-prakash-and-the-evolution-of-hair-transplantation-in-odisha/,yes,http://www.radianceclinics.com/,/hair-transplant-bhubaneswar,medium,verified live article,Hair Transplant,2026-09-14 20:46:20,https://theviralbytes.in/uploads/logo/favicon_665a0c0f7413e1-55515561.jpg,SM 3208 Google Sheets,2026-09-18T16:14:45.010499+00:00
Andhra News Digest,https://andhranewsdigest.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://andhranewsdigest.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Bihar News Watch,https://biharnewswatch.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://biharnewswatch.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Brief Buzz,https://briefbuzz.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Business Line Print,https://businesslineprint.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Buzz Center,https://buzzcenter.co/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15T06:41:51+00:00,https://buzzcenter.co/wp-content/uploads/2022/02/03.png,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Buzzing info,https://buzzinginfo.com/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15T06:41:51+00:00,https://buzzinginfo.com/wp-content/uploads/2022/02/04.png,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Chhattisgarh NewsLine,https://chhattisgarhnewsline.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Chronicle Today News,https://chronicletodaynews.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Daily gossip online,https://dailygossiponline.com/agency-news/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15T06:41:52+00:00,https://dailygossiponline.com/wp-content/uploads/2021/05/fav-icon.png,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Daily India Updates,https://dailyindiaupdates.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Daily Indiane,https://dailyindiane.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Daily News India Online,https://dailynewsindiaonline.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
daily Street Journal,https://dailystreetjournal.com/agency-news/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15T06:41:52+00:00,https://dailystreetjournal.com/wp-content/uploads/2022/03/DailyStreetJournal_Favicon.png,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Delhi News Daily,https://delhinewsdaily.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://delhinewsdaily.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Discover Weekly,https://discoverweekly.co/agency-news/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15T06:41:51+00:00,https://discoverweekly.co/wp-content/uploads/2022/03/DicoverWeekly_Favicon-60x60.png,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
District Daily News,https://districtdailynews.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://districtdailynews.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Express Times News,https://expresstimesnews.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Goa New Time,https://goanewstime.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Goa News Online,https://goanewsonline.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://goanewsonline.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Gossip Today,https://gossiptoday24.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Gujarat Watch,https://gujaratwatch.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://gujaratwatch.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Haryana News Line,https://haryananewsline.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://haryananewsline.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Haryana News Time,https://haryananewstime.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://haryananewstime.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Himachal News Report,https://himachalnewsreport.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://himachalnewsreport.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Himachal Pradesh News Flash,https://himachalpradeshnewsflash.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://himachalpradeshnewsflash.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India 24x7 News,https://india24x7news.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Breaking Buzz,https://indiabreakingbuzz.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Breaking News Line,https://indiabreakingnewsline.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiabreakingnewsline.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Brief Update,https://indiabriefupdate.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiabriefupdate.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
