query,old_page,current_page,old_clicks_28d,current_clicks_28d,old_impressions_28d,current_impressions_28d,old_position_28d,current_position_28d,ctr_change_percentage_points,clicks_7d,impressions_7d,position_7d,probable_cause,target_page,required_action,priority,pre_migration_data,source_window,checked_at
radiance skin & hair clinic,,,2,1,82,53,28.99,35.74,-0.55,0,12,36.58,TRAFFIC_DECLINE_REQUIRES_QUERY_PAGE_REVIEW,/,Preserve the homepage as the observed owner for this branded query and maintain clear links to the relevant hair treatment pathways.,P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
best hair patch in bhubaneswar,,,2,1,62,40,4.02,6.88,-0.73,0,6,10.67,TRAFFIC_DECLINE_REQUIRES_QUERY_PAGE_REVIEW,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair patch in bhubaneswar,https://www.radianceclinics.com/hair-patch/,https://www.radianceclinics.com/non-surgical-hair-replacement-bhubaneswar,2,0,92,35,6.2,15.7,1.19,0,3,25.67,WRONG_PAGE_RANKING,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,"Authenticated GSC exact-query Pages report, last 28 complete days compared with previous 28 complete days, transcribed 2026-09-24. Canonical replacement appeared at position 10.2 for 13 impressions; legacy /hair-patch/ retained historical signals only.",2026-09-24
hair transplant in berhampur,,,2,0,66,22,4.45,5.73,-3.03,0,1,7,TRAFFIC_DECLINE_REQUIRES_QUERY_PAGE_REVIEW,/hair-transplant-bhubaneswar,"Strengthen the existing hair transplant owner with relevant internal links, results and decision content; do not create a keyword-variant URL.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair patch price in bhubaneswar,,,2,0,18,17,7,6.88,-11.11,,,,MIGRATION_REDIRECT_LOSS,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
best hair transplant in bhubaneswar,,,1,5,303,330,14.94,15.91,1.19,0,69,12,CTR_PROBLEM,/hair-transplant-bhubaneswar,Review the exact query-page snippet before changing a protected title or H1; preserve the established query owner unless evidence shows a mismatch.,P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
radiance skin & hair clinics reviews,,,1,1,244,256,9.08,7.37,-0.02,0,34,4.03,MONITOR,/,Preserve the homepage as the observed owner for this branded query and maintain clear links to the relevant hair treatment pathways.,P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair clinic in bhubaneswar,,,1,1,226,238,21.94,22.61,-0.02,0,53,19.98,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair specialist in bhubaneswar,,,1,2,180,224,12.92,10.91,0.33,0,51,12.51,NORMAL_VOLATILITY,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair specialist doctor in bhubaneswar,,,1,3,65,215,11.58,8.23,-0.14,0,57,11.58,CTR_PROBLEM,/hair-loss-clinic-bhubaneswar,Review the exact query-page snippet before changing a protected title or H1; preserve the established query owner unless evidence shows a mismatch.,P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
best hair clinic in bhubaneswar,,,1,2,153,166,11.12,13.57,0.55,0,35,14.26,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair clinic bhubaneswar,,,1,3,159,141,3.29,2.96,1.5,1,32,2.69,WRONG_PAGE_RANKING,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair doctor in bhubaneswar,,,1,0,139,135,11.16,8.44,-0.72,0,26,9,TRAFFIC_DECLINE_REQUIRES_QUERY_PAGE_REVIEW,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair transplant clinic near me,,,1,0,62,79,3.56,3.96,-1.61,0,11,8.27,CTR_PROBLEM,/hair-transplant-bhubaneswar,Review the exact query-page snippet before changing a protected title or H1; preserve the established query owner unless evidence shows a mismatch.,P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair transplant cost in bhubaneswar,,,1,0,54,76,32.94,26.7,-1.85,0,24,26.29,MONITOR,/hair-transplant-bhubaneswar,"Strengthen the existing hair transplant owner with relevant internal links, results and decision content; do not create a keyword-variant URL.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
best hair transplant in odisha,,,1,0,52,55,2.38,2.84,-1.92,0,14,3.21,CTR_PROBLEM,/hair-transplant-bhubaneswar,Review the exact query-page snippet before changing a protected title or H1; preserve the established query owner unless evidence shows a mismatch.,P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair patch service near me,,,1,0,99,50,8.51,7.96,-1.01,,,,TRAFFIC_DECLINE_REQUIRES_QUERY_PAGE_REVIEW,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair specialist bhubaneswar,,,1,0,62,48,4.66,6.85,-1.61,0,11,18.91,TRAFFIC_DECLINE_REQUIRES_QUERY_PAGE_REVIEW,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair patch service in bhubaneswar,,,1,1,24,31,3.33,2.39,-0.94,,,,MIGRATION_REDIRECT_LOSS,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
best hair doctor in balasore,,,1,0,49,27,6.61,7.04,-2.04,0,2,2,TRAFFIC_DECLINE_REQUIRES_QUERY_PAGE_REVIEW,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
best hair doctor in odisha,,,1,0,20,23,5,6.57,-5,0,4,8.25,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair patch bhubaneswar,,,1,0,40,19,5.7,9.05,-2.5,0,3,14.33,MIGRATION_REDIRECT_LOSS,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
radiant skin and hair clinic,,,1,0,7,5,3.29,17.6,-14.29,0,2,16,TRAFFIC_DECLINE_REQUIRES_QUERY_PAGE_REVIEW,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair wig in bhubaneswar,https://www.radianceclinics.com/hair-wig/,https://www.radianceclinics.com/non-surgical-hair-replacement-bhubaneswar,1,0,18,4,6.8,12,0.43,,,,WRONG_PAGE_RANKING,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,"Authenticated GSC exact-query report, last 28 complete days compared with previous 28 complete days, transcribed 2026-09-24.",2026-09-24
sambalpur hair transplant clinic,,,1,0,29,3,6,5.33,-3.45,,,,TRAFFIC_DECLINE_REQUIRES_QUERY_PAGE_REVIEW,/hair-transplant-bhubaneswar,"Strengthen the existing hair transplant owner with relevant internal links, results and decision content; do not create a keyword-variant URL.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
best hair transplant clinic in india,,,1,,6,,12.67,,,,,,TRAFFIC_DECLINE_REQUIRES_QUERY_PAGE_REVIEW,/hair-transplant-bhubaneswar,"Strengthen the existing hair transplant owner with relevant internal links, results and decision content; do not create a keyword-variant URL.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair wig for men near me,,,1,,4,,7,,,,,,TRAFFIC_DECLINE_REQUIRES_QUERY_PAGE_REVIEW,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair doctor bhubaneswar,,,0,3,210,278,5.93,4.93,1.08,0,72,5.39,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
best hair specialist in bhubaneswar,,,0,1,194,181,12.35,11.06,0.55,0,49,13,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
radiance skin & hair clinics photos,,,0,1,141,167,2.1,2.72,0.6,0,38,3.32,MONITOR,/,Preserve the homepage as the observed owner for this branded query and maintain clear links to the relevant hair treatment pathways.,P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair doctor kolkata,,,0,0,143,132,8.29,5.92,0,,,,CTR_PROBLEM,/hair-loss-clinic-bhubaneswar,Review the exact query-page snippet before changing a protected title or H1; preserve the established query owner unless evidence shows a mismatch.,P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
radiance hair transplant,,,0,4,128,116,38.27,36.48,3.45,0,31,29.23,CTR_PROBLEM,/,Preserve the homepage as the observed owner for this branded query and maintain clear links to the relevant hair treatment pathways.,P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair specialist,,,0,0,225,116,68.57,61.91,0,0,3,9,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair doctor near me,,,0,1,119,115,6.78,7.05,0.87,1,34,7.26,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
bhubaneswar hair patch,,,0,0,23,16,5.48,7.06,0,0,2,9,MONITOR,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair wig shop in bhubaneswar,,,0,0,17,14,6.18,6.79,0,,,,MONITOR,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair wig shop near me,,,0,0,11,13,8.45,10.23,0,,,,MONITOR,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair patch near me,,,0,0,35,9,6.2,5.44,0,,,,MONITOR,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair wig for men in bhubaneswar,,,0,1,9,6,6.11,6,16.67,,,,MIGRATION_REDIRECT_LOSS,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair wig near me,,,0,0,3,6,5.33,7.5,0,,,,MONITOR,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair wig centre in bhubaneswar,,,0,0,16,5,7.88,7.8,0,,,,MONITOR,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
best hair patch service near me,,,0,0,3,4,8,7.75,0,,,,MONITOR,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
best hair wig in bhubaneswar,,,0,0,0,4,0,8,0,,,,NEW_QUERY_DISCOVERY,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair patch treatment,,,0,,6,,33.17,,,,,,MONITOR,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair patch for men near me,,,,,,,,,,,,,MONITOR,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair patch in coimbatore,,,0,,4,,28.5,,,,,,MONITOR,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair wig service near me,,,0,,8,,6.75,,,,,,MONITOR,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair patch salon near me,,,0,,4,,10.5,,,,,,MONITOR,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair patching near me,,,0,,5,,8.2,,,,,,MONITOR,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair wigs near me,,,0,,5,,9.2,,,,,,MONITOR,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair patch near me for men,,,0,,4,,5.25,,,,,,MONITOR,/non-surgical-hair-replacement-bhubaneswar,"Strengthen the canonical hair patch and wig page, keep legacy redirects one hop, and inspect the canonical URL after deployment.",P0,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair treatment in bhubaneswar,,,4,1,333,331,13.06,12.39,-0.9,0,109,10.61,TRAFFIC_DECLINE_REQUIRES_QUERY_PAGE_REVIEW,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P1,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
laser hair removal in bhubaneswar,,,3,2,145,149,15.59,15.3,-0.73,0,37,11.32,NORMAL_VOLATILITY,/laser-hair-removal-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P1,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
laser hair removal bhubaneswar,,,2,3,166,188,7.34,8.84,0.4,2,54,11.83,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P1,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
